time,repressorA,repressorB
0,14,13
0.0001,13.999,12.999
0.0002,13.997,12.998
0.0003,13.996,12.996
0.0004,13.994,12.995
0.0005,13.993,12.994
0.0006,13.992,12.993
0.0007,13.99,12.991
0.0008,13.989,12.99
0.0009,13.987,12.989
0.001,13.986,12.988
0.0011,13.985,12.987
0.0012,13.983,12.985
0.0013,13.982,12.984
0.0014,13.981,12.983
0.0015,13.979,12.982
0.0016,13.978,12.98
0.0017,13.976,12.979
0.0018,13.975,12.978
0.0019,13.974,12.977
0.002,13.972,12.976
0.0021,13.971,12.974
0.0022,13.969,12.973
0.0023,13.968,12.972
0.0024,13.967,12.971
0.0025,13.965,12.969
0.0026,13.964,12.968
0.0027,13.962,12.967
0.0028,13.961,12.966
0.0029,13.96,12.965
0.003,13.958,12.963
0.0031,13.957,12.962
0.0032,13.956,12.961
0.0033,13.954,12.96
0.0034,13.953,12.958
0.0035,13.951,12.957
0.0036,13.95,12.956
0.0037,13.949,12.955
0.0038,13.947,12.954
0.0039,13.946,12.952
0.004,13.944,12.951
0.0041,13.943,12.95
0.0042,13.942,12.949
0.0043,13.94,12.948
0.0044,13.939,12.946
0.0045,13.938,12.945
0.0046,13.936,12.944
0.0047,13.935,12.943
0.0048,13.933,12.941
0.0049,13.932,12.94
0.005,13.931,12.939
0.0051,13.929,12.938
0.0052,13.928,12.937
0.0053,13.926,12.935
0.0054,13.925,12.934
0.0055,13.924,12.933
0.0056,13.922,12.932
0.0057,13.921,12.93
0.0058,13.92,12.929
0.0059,13.918,12.928
0.006,13.917,12.927
0.0061,13.915,12.926
0.0062,13.914,12.924
0.0063,13.913,12.923
0.0064,13.911,12.922
0.0065,13.91,12.921
0.0066,13.908,12.92
0.0067,13.907,12.918
0.0068,13.906,12.917
0.0069,13.904,12.916
0.007,13.903,12.915
0.0071,13.902,12.913
0.0072,13.9,12.912
0.0073,13.899,12.911
0.0074,13.897,12.91
0.0075,13.896,12.909
0.0076,13.895,12.907
0.0077,13.893,12.906
0.0078,13.892,12.905
0.0079,13.891,12.904
0.008,13.889,12.903
0.0081,13.888,12.901
0.0082,13.886,12.9
0.0083,13.885,12.899
0.0084,13.884,12.898
0.0085,13.882,12.896
0.0086,13.881,12.895
0.0087,13.879,12.894
0.0088,13.878,12.893
0.0089,13.877,12.892
0.009,13.875,12.89
0.0091,13.874,12.889
0.0092,13.873,12.888
0.0093,13.871,12.887
0.0094,13.87,12.886
0.0095,13.868,12.884
0.0096,13.867,12.883
0.0097,13.866,12.882
0.0098,13.864,12.881
0.0099,13.863,12.88
0.01,13.862,12.878
0.0101,13.86,12.877
0.0102,13.859,12.876
0.0103,13.857,12.875
0.0104,13.856,12.873
0.0105,13.855,12.872
0.0106,13.853,12.871
0.0107,13.852,12.87
0.0108,13.851,12.869
0.0109,13.849,12.867
0.011,13.848,12.866
0.0111,13.846,12.865
0.0112,13.845,12.864
0.0113,13.844,12.863
0.0114,13.842,12.861
0.0115,13.841,12.86
0.0116,13.84,12.859
0.0117,13.838,12.858
0.0118,13.837,12.857
0.0119,13.835,12.855
0.012,13.834,12.854
0.0121,13.833,12.853
0.0122,13.831,12.852
0.0123,13.83,12.851
0.0124,13.829,12.849
0.0125,13.827,12.848
0.0126,13.826,12.847
0.0127,13.824,12.846
0.0128,13.823,12.844
0.0129,13.822,12.843
0.013,13.82,12.842
0.0131,13.819,12.841
0.0132,13.818,12.84
0.0133,13.816,12.838
0.0134,13.815,12.837
0.0135,13.813,12.836
0.0136,13.812,12.835
0.0137,13.811,12.834
0.0138,13.809,12.832
0.0139,13.808,12.831
0.014,13.807,12.83
0.0141,13.805,12.829
0.0142,13.804,12.828
0.0143,13.802,12.826
0.0144,13.801,12.825
0.0145,13.8,12.824
0.0146,13.798,12.823
0.0147,13.797,12.822
0.0148,13.796,12.82
0.0149,13.794,12.819
0.015,13.793,12.818
0.0151,13.792,12.817
0.0152,13.79,12.816
0.0153,13.789,12.814
0.0154,13.787,12.813
0.0155,13.786,12.812
0.0156,13.785,12.811
0.0157,13.783,12.81
0.0158,13.782,12.808
0.0159,13.781,12.807
0.016,13.779,12.806
0.0161,13.778,12.805
0.0162,13.776,12.804
0.0163,13.775,12.802
0.0164,13.774,12.801
0.0165,13.772,12.8
0.0166,13.771,12.799
0.0167,13.77,12.798
0.0168,13.768,12.796
0.0169,13.767,12.795
0.017,13.765,12.794
0.0171,13.764,12.793
0.0172,13.763,12.792
0.0173,13.761,12.79
0.0174,13.76,12.789
0.0175,13.759,12.788
0.0176,13.757,12.787
0.0177,13.756,12.786
0.0178,13.755,12.784
0.0179,13.753,12.783
0.018,13.752,12.782
0.0181,13.75,12.781
0.0182,13.749,12.78
0.0183,13.748,12.778
0.0184,13.746,12.777
0.0185,13.745,12.776
0.0186,13.744,12.775
0.0187,13.742,12.774
0.0188,13.741,12.772
0.0189,13.74,12.771
0.019,13.738,12.77
0.0191,13.737,12.769
0.0192,13.735,12.768
0.0193,13.734,12.766
0.0194,13.733,12.765
0.0195,13.731,12.764
0.0196,13.73,12.763
0.0197,13.729,12.762
0.0198,13.727,12.76
0.0199,13.726,12.759
0.02,13.725,12.758
0.0201,13.723,12.757
0.0202,13.722,12.756
0.0203,13.72,12.754
0.0204,13.719,12.753
0.0205,13.718,12.752
0.0206,13.716,12.751
0.0207,13.715,12.75
0.0208,13.714,12.748
0.0209,13.712,12.747
0.021,13.711,12.746
0.0211,13.71,12.745
0.0212,13.708,12.744
0.0213,13.707,12.742
0.0214,13.705,12.741
0.0215,13.704,12.74
0.0216,13.703,12.739
0.0217,13.701,12.738
0.0218,13.7,12.736
0.0219,13.699,12.735
0.022,13.697,12.734
0.0221,13.696,12.733
0.0222,13.695,12.732
0.0223,13.693,12.73
0.0224,13.692,12.729
0.0225,13.69,12.728
0.0226,13.689,12.727
0.0227,13.688,12.726
0.0228,13.686,12.725
0.0229,13.685,12.723
0.023,13.684,12.722
