time,mlaci,laci,mtetr,tetr,mci,ci
0,5,1,10,1,15,1
0.001,5.103,1.0008,10.098,1.0018,15.093,1.0028
0.002,5.2056,1.0016,10.196,1.0036,15.186,1.0056
0.003,5.3078,1.0025,10.294,1.0055,15.278,1.0085
0.004,5.4096,1.0034,10.391,1.0074,15.371,1.0113
0.005,5.511,1.0043,10.489,1.0092,15.462,1.0142
0.006,5.612,1.0052,10.586,1.0111,15.554,1.0171
0.007,5.7125,1.0061,10.683,1.0131,15.645,1.02
0.008,5.8127,1.007,10.78,1.015,15.736,1.023
0.009,5.9124,1.008,10.876,1.017,15.827,1.0259
0.01,6.0118,1.009,10.973,1.019,15.918,1.0289
0.011,6.1107,1.01,11.069,1.021,16.008,1.0319
0.012,6.2092,1.0111,11.165,1.023,16.097,1.0349
0.013,6.3073,1.0121,11.261,1.025,16.187,1.0379
0.014,6.405,1.0132,11.356,1.0271,16.276,1.0409
0.015,6.5023,1.0143,11.451,1.0291,16.365,1.044
0.016,6.5991,1.0154,11.547,1.0312,16.454,1.0471
0.017,6.6956,1.0165,11.641,1.0334,16.542,1.0502
0.018,6.7916,1.0176,11.736,1.0355,16.63,1.0533
0.019,6.8872,1.0188,11.831,1.0376,16.718,1.0564
0.02,6.9824,1.02,11.925,1.0398,16.805,1.0595
0.021,7.0772,1.0212,12.019,1.042,16.892,1.0627
0.022,7.1716,1.0224,12.113,1.0442,16.979,1.0659
0.023,7.2655,1.0236,12.206,1.0464,17.065,1.0691
0.024,7.3591,1.0249,12.3,1.0487,17.151,1.0723
0.025,7.4522,1.0262,12.393,1.0509,17.237,1.0755
0.026,7.5449,1.0275,12.486,1.0532,17.323,1.0787
0.027,7.6372,1.0288,12.578,1.0555,17.408,1.082
0.028,7.7291,1.0301,12.671,1.0578,17.492,1.0853
0.029,7.8205,1.0315,12.763,1.0601,17.577,1.0885
0.03,7.9116,1.0328,12.855,1.0625,17.661,1.0919
0.031,8.0022,1.0342,12.947,1.0648,17.745,1.0952
0.032,8.0924,1.0356,13.038,1.0672,17.829,1.0985
0.033,8.1822,1.037,13.13,1.0696,17.912,1.1019
0.034,8.2716,1.0385,13.221,1.0721,17.995,1.1052
0.035,8.3606,1.0399,13.312,1.0745,18.077,1.1086
0.036,8.4491,1.0414,13.402,1.077,18.159,1.112
0.037,8.5372,1.0429,13.492,1.0794,18.241,1.1154
0.038,8.6249,1.0444,13.583,1.0819,18.323,1.1189
0.039,8.7122,1.0459,13.672,1.0844,18.404,1.1223
0.04,8.7991,1.0475,13.762,1.087,18.485,1.1258
0.041,8.8856,1.049,13.851,1.0895,18.566,1.1293
0.042,8.9716,1.0506,13.94,1.0921,18.646,1.1328
0.043,9.0572,1.0522,14.029,1.0946,18.726,1.1363
0.044,9.1424,1.0538,14.118,1.0972,18.805,1.1398
0.045,9.2272,1.0554,14.206,1.0999,18.885,1.1433
0.046,9.3116,1.0571,14.294,1.1025,18.964,1.1469
0.047,9.3956,1.0587,14.382,1.1051,19.042,1.1505
0.048,9.4792,1.0604,14.469,1.1078,19.12,1.1541
0.049,9.5623,1.0621,14.557,1.1105,19.198,1.1577
0.05,9.645,1.0638,14.644,1.1132,19.276,1.1613
