time,prey,pred
0,35,4
0.001,35.013,3.9999
0.002,35.026,3.9998
0.003,35.04,3.9998
0.004,35.053,3.9997
0.005,35.066,3.9996
0.006,35.079,3.9995
0.007,35.092,3.9995
0.008,35.105,3.9994
0.009,35.119,3.9993
0.01,35.132,3.9993
0.011,35.145,3.9992
0.012,35.158,3.9991
0.013,35.172,3.9991
0.014,35.185,3.999
0.015,35.198,3.999
0.016,35.211,3.9989
0.017,35.224,3.9988
0.018,35.238,3.9988
0.019,35.251,3.9987
0.02,35.264,3.9987
0.021,35.277,3.9986
0.022,35.291,3.9986
0.023,35.304,3.9985
0.024,35.317,3.9985
0.025,35.331,3.9984
0.026,35.344,3.9984
0.027,35.357,3.9983
0.028,35.37,3.9983
0.029,35.384,3.9983
0.03,35.397,3.9982
0.031,35.41,3.9982
0.032,35.424,3.9981
0.033,35.437,3.9981
0.034,35.45,3.9981
0.035,35.464,3.998
0.036,35.477,3.998
0.037,35.49,3.998
0.038,35.504,3.998
0.039,35.517,3.9979
0.04,35.53,3.9979
0.041,35.544,3.9979
0.042,35.557,3.9979
0.043,35.571,3.9978
0.044,35.584,3.9978
0.045,35.597,3.9978
0.046,35.611,3.9978
0.047,35.624,3.9978
0.048,35.637,3.9977
0.049,35.651,3.9977
0.05,35.664,3.9977
0.051,35.678,3.9977
0.052,35.691,3.9977
0.053,35.705,3.9977
0.054,35.718,3.9977
0.055,35.731,3.9977
0.056,35.745,3.9977
0.057,35.758,3.9977
0.058,35.772,3.9977
0.059,35.785,3.9977
0.06,35.799,3.9977
0.061,35.812,3.9977
0.062,35.826,3.9977
0.063,35.839,3.9977
0.064,35.853,3.9977
0.065,35.866,3.9977
0.066,35.88,3.9977
0.067,35.893,3.9977
0.068,35.907,3.9978
0.069,35.92,3.9978
0.07,35.934,3.9978
0.071,35.947,3.9978
0.072,35.961,3.9978
0.073,35.974,3.9978
0.074,35.988,3.9979
0.075,36.001,3.9979
0.076,36.015,3.9979
0.077,36.028,3.9979
0.078,36.042,3.998
0.079,36.055,3.998
0.08,36.069,3.998
0.081,36.082,3.9981
0.082,36.096,3.9981
0.083,36.11,3.9981
0.084,36.123,3.9982
0.085,36.137,3.9982
0.086,36.15,3.9982
0.087,36.164,3.9983
0.088,36.178,3.9983
0.089,36.191,3.9984
0.09,36.205,3.9984
0.091,36.218,3.9985
0.092,36.232,3.9985
0.093,36.246,3.9985
0.094,36.259,3.9986
0.095,36.273,3.9987
0.096,36.287,3.9987
0.097,36.3,3.9988
0.098,36.314,3.9988
0.099,36.328,3.9989
0.1,36.341,3.9989
0.101,36.355,3.999
0.102,36.369,3.9991
0.103,36.382,3.9991
0.104,36.396,3.9992
0.105,36.41,3.9992
0.106,36.423,3.9993
0.107,36.437,3.9994
0.108,36.451,3.9995
0.109,36.464,3.9995
0.11,36.478,3.9996
0.111,36.492,3.9997
0.112,36.506,3.9997
0.113,36.519,3.9998
0.114,36.533,3.9999
0.115,36.547,4
0.116,36.561,4.0001
0.117,36.574,4.0001
0.118,36.588,4.0002
0.119,36.602,4.0003
0.12,36.616,4.0004
0.121,36.629,4.0005
0.122,36.643,4.0006
0.123,36.657,4.0007
0.124,36.671,4.0008
0.125,36.684,4.0009
0.126,36.698,4.001
0.127,36.712,4.0011
0.128,36.726,4.0012
0.129,36.74,4.0013
0.13,36.753,4.0014
0.131,36.767,4.0015
0.132,36.781,4.0016
0.133,36.795,4.0017
0.134,36.809,4.0018
0.135,36.823,4.0019
0.136,36.836,4.002
0.137,36.85,4.0021
0.138,36.864,4.0022
0.139,36.878,4.0023
0.14,36.892,4.0025
0.141,36.906,4.0026
0.142,36.92,4.0027
0.143,36.934,4.0028
0.144,36.947,4.0029
0.145,36.961,4.0031
0.146,36.975,4.0032
0.147,36.989,4.0033
0.148,37.003,4.0034
0.149,37.017,4.0036
0.15,37.031,4.0037
0.151,37.045,4.0038
0.152,37.059,4.004
0.153,37.073,4.0041
0.154,37.087,4.0042
0.155,37.101,4.0044
0.156,37.114,4.0045
0.157,37.128,4.0046
0.158,37.142,4.0048
0.159,37.156,4.0049
0.16,37.17,4.0051
0.161,37.184,4.0052
0.162,37.198,4.0054
0.163,37.212,4.0055
0.164,37.226,4.0057
0.165,37.24,4.0058
0.166,37.254,4.006
0.167,37.268,4.0061
0.168,37.282,4.0063
0.169,37.296,4.0065
0.17,37.31,4.0066
0.171,37.324,4.0068
0.172,37.338,4.0069
0.173,37.352,4.0071
0.174,37.366,4.0073
0.175,37.38,4.0074
0.176,37.394,4.0076
0.177,37.409,4.0078
0.178,37.423,4.0079
0.179,37.437,4.0081
0.18,37.451,4.0083
0.181,37.465,4.0085
0.182,37.479,4.0086
0.183,37.493,4.0088
0.184,37.507,4.009
0.185,37.521,4.0092
0.186,37.535,4.0094
0.187,37.549,4.0096
0.188,37.563,4.0097
0.189,37.578,4.0099
0.19,37.592,4.0101
0.191,37.606,4.0103
0.192,37.62,4.0105
0.193,37.634,4.0107
0.194,37.648,4.0109
0.195,37.662,4.0111
0.196,37.677,4.0113
0.197,37.691,4.0115
0.198,37.705,4.0117
0.199,37.719,4.0119
0.2,37.733,4.0121
0.201,37.747,4.0123
0.202,37.762,4.0125
0.203,37.776,4.0127
0.204,37.79,4.0129
0.205,37.804,4.0131
0.206,37.818,4.0134
0.207,37.833,4.0136
0.208,37.847,4.0138
0.209,37.861,4.014
0.21,37.875,4.0142
0.211,37.889,4.0144
0.212,37.904,4.0147
0.213,37.918,4.0149
0.214,37.932,4.0151
0.215,37.946,4.0153
0.216,37.961,4.0156
0.217,37.975,4.0158
0.218,37.989,4.016
0.219,38.003,4.0163
0.22,38.018,4.0165
0.221,38.032,4.0167
0.222,38.046,4.017
0.223,38.061,4.0172
0.224,38.075,4.0175
0.225,38.089,4.0177
0.226,38.104,4.0179
0.227,38.118,4.0182
0.228,38.132,4.0184
0.229,38.146,4.0187
0.23,38.161,4.0189
0.231,38.175,4.0192
0.232,38.189,4.0194
0.233,38.204,4.0197
0.234,38.218,4.0199
0.235,38.232,4.0202
0.236,38.247,4.0205
0.237,38.261,4.0207
0.238,38.276,4.021
0.239,38.29,4.0212
0.24,38.304,4.0215
0.241,38.319,4.0218
0.242,38.333,4.022
0.243,38.347,4.0223
0.244,38.362,4.0226
0.245,38.376,4.0228
0.246,38.391,4.0231
0.247,38.405,4.0234
0.248,38.42,4.0237
0.249,38.434,4.024
0.25,38.448,4.0242
0.251,38.463,4.0245
0.252,38.477,4.0248
0.253,38.492,4.0251
0.254,38.506,4.0254
0.255,38.521,4.0257
0.256,38.535,4.0259
0.257,38.55,4.0262
0.258,38.564,4.0265
0.259,38.578,4.0268
0.26,38.593,4.0271
0.261,38.607,4.0274
0.262,38.622,4.0277
0.263,38.636,4.028
0.264,38.651,4.0283
0.265,38.665,4.0286
0.266,38.68,4.0289
0.267,38.694,4.0292
0.268,38.709,4.0295
0.269,38.724,4.0298
0.27,38.738,4.0302
0.271,38.753,4.0305
0.272,38.767,4.0308
0.273,38.782,4.0311
0.274,38.796,4.0314
0.275,38.811,4.0317
0.276,38.825,4.032
0.277,38.84,4.0324
0.278,38.855,4.0327
0.279,38.869,4.033
0.28,38.884,4.0333
0.281,38.898,4.0337
0.282,38.913,4.034
0.283,38.927,4.0343
0.284,38.942,4.0347
0.285,38.957,4.035
0.286,38.971,4.0353
0.287,38.986,4.0357
0.288,39.001,4.036
0.289,39.015,4.0363
0.29,39.03,4.0367
0.291,39.044,4.037
0.292,39.059,4.0374
0.293,39.074,4.0377
0.294,39.088,4.0381
0.295,39.103,4.0384
0.296,39.118,4.0388
0.297,39.132,4.0391
0.298,39.147,4.0395
0.299,39.162,4.0398
0.3,39.176,4.0402
0.301,39.191,4.0405
0.302,39.206,4.0409
0.303,39.221,4.0413
0.304,39.235,4.0416
0.305,39.25,4.042
0.306,39.265,4.0424
0.307,39.279,4.0427
0.308,39.294,4.0431
0.309,39.309,4.0435
0.31,39.324,4.0438
0.311,39.338,4.0442
0.312,39.353,4.0446
0.313,39.368,4.045
0.314,39.383,4.0454
0.315,39.397,4.0457
0.316,39.412,4.0461
0.317,39.427,4.0465
0.318,39.442,4.0469
0.319,39.456,4.0473
0.32,39.471,4.0477
0.321,39.486,4.0481
0.322,39.501,4.0484
0.323,39.516,4.0488
0.324,39.53,4.0492
0.325,39.545,4.0496
0.326,39.56,4.05
0.327,39.575,4.0504
0.328,39.59,4.0508
0.329,39.605,4.0512
0.33,39.619,4.0516
0.331,39.634,4.052
0.332,39.649,4.0525
0.333,39.664,4.0529
0.334,39.679,4.0533
0.335,39.694,4.0537
0.336,39.709,4.0541
0.337,39.723,4.0545
0.338,39.738,4.0549
0.339,39.753,4.0554
0.34,39.768,4.0558
0.341,39.783,4.0562
0.342,39.798,4.0566
0.343,39.813,4.0571
0.344,39.828,4.0575
0.345,39.843,4.0579
0.346,39.858,4.0583
0.347,39.872,4.0588
0.348,39.887,4.0592
0.349,39.902,4.0596
0.35,39.917,4.0601
0.351,39.932,4.0605
0.352,39.947,4.061
0.353,39.962,4.0614
0.354,39.977,4.0618
0.355,39.992,4.0623
0.356,40.007,4.0627
0.357,40.022,4.0632
0.358,40.037,4.0636
0.359,40.052,4.0641
0.36,40.067,4.0645
0.361,40.082,4.065
0.362,40.097,4.0654
0.363,40.112,4.0659
0.364,40.127,4.0664
0.365,40.142,4.0668
0.366,40.157,4.0673
0.367,40.172,4.0678
0.368,40.187,4.0682
0.369,40.202,4.0687
0.37,40.217,4.0692
0.371,40.232,4.0696
0.372,40.247,4.0701
0.373,40.262,4.0706
0.374,40.278,4.0711
0.375,40.293,4.0715
0.376,40.308,4.072
0.377,40.323,4.0725
0.378,40.338,4.073
0.379,40.353,4.0735
0.38,40.368,4.0739
0.381,40.383,4.0744
0.382,40.398,4.0749
0.383,40.413,4.0754
0.384,40.428,4.0759
0.385,40.444,4.0764
0.386,40.459,4.0769
0.387,40.474,4.0774
0.388,40.489,4.0779
0.389,40.504,4.0784
0.39,40.519,4.0789
0.391,40.534,4.0794
0.392,40.55,4.0799
0.393,40.565,4.0804
0.394,40.58,4.0809
0.395,40.595,4.0814
0.396,40.61,4.082
0.397,40.625,4.0825
0.398,40.641,4.083
0.399,40.656,4.0835
0.4,40.671,4.084
0.401,40.686,4.0845
0.402,40.701,4.0851
0.403,40.717,4.0856
0.404,40.732,4.0861
0.405,40.747,4.0866
0.406,40.762,4.0872
0.407,40.778,4.0877
0.408,40.793,4.0882
0.409,40.808,4.0888
0.41,40.823,4.0893
0.411,40.839,4.0898
0.412,40.854,4.0904
0.413,40.869,4.0909
0.414,40.884,4.0915
0.415,40.9,4.092
0.416,40.915,4.0926
0.417,40.93,4.0931
0.418,40.946,4.0937
0.419,40.961,4.0942
0.42,40.976,4.0948
0.421,40.991,4.0953
0.422,41.007,4.0959
0.423,41.022,4.0964
0.424,41.037,4.097
0.425,41.053,4.0976
0.426,41.068,4.0981
0.427,41.083,4.0987
0.428,41.099,4.0993
0.429,41.114,4.0998
0.43,41.129,4.1004
0.431,41.145,4.101
0.432,41.16,4.1015
0.433,41.176,4.1021
0.434,41.191,4.1027
0.435,41.206,4.1033
0.436,41.222,4.1038
0.437,41.237,4.1044
0.438,41.253,4.105
0.439,41.268,4.1056
0.44,41.283,4.1062
0.441,41.299,4.1068
0.442,41.314,4.1074
0.443,41.33,4.108
0.444,41.345,4.1086
0.445,41.36,4.1092
0.446,41.376,4.1098
0.447,41.391,4.1104
0.448,41.407,4.111
0.449,41.422,4.1116
0.45,41.438,4.1122
0.451,41.453,4.1128
0.452,41.469,4.1134
0.453,41.484,4.114
0.454,41.5,4.1146
0.455,41.515,4.1152
0.456,41.531,4.1158
0.457,41.546,4.1164
0.458,41.562,4.1171
0.459,41.577,4.1177
0.46,41.593,4.1183
0.461,41.608,4.1189
0.462,41.624,4.1196
0.463,41.639,4.1202
0.464,41.655,4.1208
0.465,41.67,4.1214
0.466,41.686,4.1221
0.467,41.701,4.1227
0.468,41.717,4.1233
0.469,41.732,4.124
0.47,41.748,4.1246
0.471,41.763,4.1253
0.472,41.779,4.1259
0.473,41.795,4.1266
0.474,41.81,4.1272
0.475,41.826,4.1279
0.476,41.841,4.1285
0.477,41.857,4.1292
0.478,41.873,4.1298
0.479,41.888,4.1305
0.48,41.904,4.1311
0.481,41.919,4.1318
0.482,41.935,4.1324
0.483,41.951,4.1331
0.484,41.966,4.1338
0.485,41.982,4.1344
0.486,41.998,4.1351
0.487,42.013,4.1358
0.488,42.029,4.1364
0.489,42.045,4.1371
0.49,42.06,4.1378
0.491,42.076,4.1385
0.492,42.092,4.1392
0.493,42.107,4.1398
0.494,42.123,4.1405
0.495,42.139,4.1412
0.496,42.154,4.1419
0.497,42.17,4.1426
0.498,42.186,4.1433
0.499,42.201,4.144
0.5,42.217,4.1447
0.501,42.233,4.1453
0.502,42.249,4.146
0.503,42.264,4.1467
0.504,42.28,4.1474
0.505,42.296,4.1481
0.506,42.311,4.1489
0.507,42.327,4.1496
0.508,42.343,4.1503
0.509,42.359,4.151
0.51,42.374,4.1517
0.511,42.39,4.1524
0.512,42.406,4.1531
0.513,42.422,4.1538
0.514,42.438,4.1546
0.515,42.453,4.1553
0.516,42.469,4.156
0.517,42.485,4.1567
0.518,42.501,4.1574
0.519,42.517,4.1582
0.52,42.532,4.1589
0.521,42.548,4.1596
0.522,42.564,4.1604
0.523,42.58,4.1611
0.524,42.596,4.1618
0.525,42.612,4.1626
0.526,42.627,4.1633
0.527,42.643,4.1641
0.528,42.659,4.1648
0.529,42.675,4.1656
0.53,42.691,4.1663
0.531,42.707,4.1671
0.532,42.723,4.1678
0.533,42.738,4.1686
0.534,42.754,4.1693
0.535,42.77,4.1701
0.536,42.786,4.1708
0.537,42.802,4.1716
0.538,42.818,4.1724
0.539,42.834,4.1731
0.54,42.85,4.1739
0.541,42.866,4.1747
0.542,42.882,4.1754
0.543,42.898,4.1762
0.544,42.913,4.177
0.545,42.929,4.1778
0.546,42.945,4.1785
0.547,42.961,4.1793
0.548,42.977,4.1801
0.549,42.993,4.1809
0.55,43.009,4.1817
0.551,43.025,4.1825
0.552,43.041,4.1833
0.553,43.057,4.184
0.554,43.073,4.1848
0.555,43.089,4.1856
0.556,43.105,4.1864
0.557,43.121,4.1872
0.558,43.137,4.188
0.559,43.153,4.1888
0.56,43.169,4.1896
0.561,43.185,4.1904
0.562,43.201,4.1913
0.563,43.217,4.1921
0.564,43.233,4.1929
0.565,43.249,4.1937
0.566,43.265,4.1945
0.567,43.281,4.1953
0.568,43.297,4.1961
0.569,43.314,4.197
0.57,43.33,4.1978
0.571,43.346,4.1986
