time,mlaci,laci,mtetr,tetr,mci,ci
0,0.1,0.1,20,0.1,0.1,0.1
0.001,0.31387,0.10002,20.194,0.104,0.31378,0.10002
0.002,0.52752,0.10009,20.388,0.10804,0.52718,0.10009
0.003,0.74096,0.10019,20.581,0.11211,0.74018,0.10019
0.004,0.95418,0.10034,20.775,0.11622,0.95277,0.10034
0.005,1.1672,0.10053,20.968,0.12037,1.1649,0.10053
0.006,1.38,0.10077,21.161,0.12456,1.3767,0.10077
0.007,1.5925,0.10105,21.354,0.12879,1.588,0.10104
0.008,1.8048,0.10137,21.546,0.13305,1.7989,0.10136
0.009,2.0169,0.10173,21.739,0.13735,2.0093,0.10172
0.01,2.2288,0.10213,21.931,0.14169,2.2193,0.10212
0.011,2.4405,0.10258,22.123,0.14607,2.4288,0.10257
0.012,2.6519,0.10307,22.314,0.15048,2.6379,0.10306
0.013,2.863,0.1036,22.506,0.15494,2.8464,0.10358
0.014,3.074,0.10417,22.697,0.15942,3.0545,0.10415
0.015,3.2847,0.10478,22.888,0.16395,3.262,0.10476
0.016,3.4952,0.10544,23.079,0.16851,3.4691,0.10542
0.017,3.7054,0.10614,23.27,0.17311,3.6756,0.10611
0.018,3.9154,0.10688,23.46,0.17775,3.8816,0.10684
0.019,4.1251,0.10766,23.651,0.18243,4.0871,0.10762
0.02,4.3346,0.10849,23.841,0.18714,4.292,0.10844
0.021,4.5438,0.10935,24.03,0.19189,4.4964,0.10929
0.022,4.7528,0.11026,24.22,0.19667,4.7002,0.11019
0.023,4.9616,0.11121,24.409,0.2015,4.9034,0.11113
0.024,5.1701,0.1122,24.598,0.20636,5.106,0.11211
0.025,5.3783,0.11323,24.787,0.21125,5.308,0.11313
0.026,5.5863,0.11431,24.975,0.21619,5.5094,0.11419
0.027,5.794,0.11542,25.164,0.22116,5.7102,0.11528
0.028,6.0014,0.11658,25.352,0.22617,5.9103,0.11642
0.029,6.2086,0.11778,25.54,0.23121,6.1098,0.1176
0.03,6.4156,0.11902,25.727,0.23629,6.3087,0.11882
0.031,6.6222,0.1203,25.915,0.2414,6.5068,0.12008
0.032,6.8286,0.12162,26.102,0.24656,6.7043,0.12138
0.033,7.0347,0.12298,26.289,0.25175,6.9011,0.12271
0.034,7.2406,0.12438,26.475,0.25697,7.0972,0.12409
0.035,7.4461,0.12583,26.662,0.26223,7.2925,0.1255
0.036,7.6514,0.12731,26.848,0.26753,7.4872,0.12695
0.037,7.8564,0.12884,27.033,0.27287,7.6811,0.12844
0.038,8.0611,0.1304,27.219,0.27824,7.8743,0.12997
0.039,8.2655,0.13201,27.404,0.28364,8.0667,0.13154
0.04,8.4697,0.13365,27.589,0.28909,8.2583,0.13315
0.041,8.6735,0.13534,27.774,0.29456,8.4492,0.13479
0.042,8.877,0.13707,27.958,0.30008,8.6393,0.13647
0.043,9.0803,0.13884,28.142,0.30563,8.8286,0.13819
0.044,9.2832,0.14065,28.326,0.31121,9.0171,0.13995
0.045,9.4859,0.1425,28.51,0.31683,9.2048,0.14174
0.046,9.6882,0.14438,28.693,0.32249,9.3916,0.14357
0.047,9.8902,0.14631,28.876,0.32818,9.5776,0.14544
0.048,10.092,0.14828,29.059,0.33391,9.7628,0.14735
0.049,10.293,0.15029,29.241,0.33967,9.9471,0.14929
0.05,10.494,0.15234,29.423,0.34547,10.131,0.15127
0.051,10.695,0.15443,29.605,0.3513,10.313,0.15328
0.052,10.895,0.15656,29.786,0.35717,10.495,0.15533
0.053,11.096,0.15872,29.967,0.36307,10.676,0.15742
0.054,11.295,0.16093,30.148,0.36901,10.856,0.15954
0.055,11.495,0.16318,30.329,0.37499,11.035,0.16169
0.056,11.694,0.16546,30.509,0.38099,11.213,0.16389
0.057,11.892,0.16779,30.689,0.38704,11.39,0.16611
0.058,12.091,0.17015,30.868,0.39311,11.566,0.16838
0.059,12.289,0.17256,31.047,0.39923,11.741,0.17067
0.06,12.486,0.175,31.226,0.40537,11.916,0.173
0.061,12.684,0.17748,31.404,0.41155,12.089,0.17537
0.062,12.881,0.18,31.582,0.41777,12.261,0.17777
0.063,13.077,0.18256,31.76,0.42402,12.433,0.1802
0.064,13.273,0.18516,31.937,0.4303,12.603,0.18267
0.065,13.469,0.1878,32.114,0.43662,12.772,0.18517
0.066,13.664,0.19047,32.291,0.44298,12.941,0.1877
0.067,13.859,0.19318,32.467,0.44936,13.108,0.19027
0.068,14.054,0.19594,32.643,0.45578,13.275,0.19287
0.069,14.248,0.19873,32.818,0.46224,13.44,0.1955
0.07,14.442,0.20156,32.993,0.46872,13.604,0.19817
