time,mA,pA,mB,pB
0,5,2,5,2
0.001,4.99,2.003,4.99,2.003
0.002,4.98,2.006,4.98,2.006
0.003,4.9701,2.0089,4.9701,2.0089
0.004,4.9602,2.0119,4.9602,2.0119
0.005,4.9503,2.0148,4.9503,2.0148
0.006,4.9404,2.0178,4.9404,2.0178
0.007,4.9305,2.0207,4.9305,2.0207
0.008,4.9206,2.0236,4.9206,2.0236
0.009,4.9108,2.0265,4.9108,2.0265
0.01,4.901,2.0294,4.901,2.0294
0.011,4.8912,2.0322,4.8912,2.0322
0.012,4.8814,2.0351,4.8814,2.0351
0.013,4.8717,2.0379,4.8717,2.0379
0.014,4.862,2.0407,4.862,2.0407
0.015,4.8522,2.0436,4.8522,2.0436
0.016,4.8425,2.0464,4.8425,2.0464
0.017,4.8329,2.0491,4.8329,2.0491
0.018,4.8232,2.0519,4.8232,2.0519
0.019,4.8136,2.0547,4.8136,2.0547
0.02,4.804,2.0574,4.804,2.0574
0.021,4.7944,2.0602,4.7944,2.0602
0.022,4.7848,2.0629,4.7848,2.0629
0.023,4.7752,2.0656,4.7752,2.0656
0.024,4.7657,2.0683,4.7657,2.0683
0.025,4.7562,2.071,4.7562,2.071
0.026,4.7467,2.0737,4.7467,2.0737
0.027,4.7372,2.0764,4.7372,2.0764
0.028,4.7277,2.079,4.7277,2.079
0.029,4.7183,2.0817,4.7183,2.0817
0.03,4.7088,2.0843,4.7088,2.0843
0.031,4.6994,2.0869,4.6994,2.0869
0.032,4.69,2.0895,4.69,2.0895
0.033,4.6807,2.0921,4.6807,2.0921
0.034,4.6713,2.0947,4.6713,2.0947
0.035,4.662,2.0973,4.662,2.0973
0.036,4.6527,2.0998,4.6527,2.0998
0.037,4.6434,2.1024,4.6434,2.1024
0.038,4.6341,2.1049,4.6341,2.1049
0.039,4.6249,2.1074,4.6249,2.1074
0.04,4.6156,2.1099,4.6156,2.1099
0.041,4.6064,2.1124,4.6064,2.1124
0.042,4.5972,2.1149,4.5972,2.1149
0.043,4.588,2.1174,4.588,2.1174
0.044,4.5788,2.1199,4.5788,2.1199
0.045,4.5697,2.1223,4.5697,2.1223
0.046,4.5606,2.1248,4.5606,2.1248
0.047,4.5514,2.1272,4.5514,2.1272
0.048,4.5424,2.1296,4.5424,2.1296
0.049,4.5333,2.132,4.5333,2.132
0.05,4.5242,2.1344,4.5242,2.1344
0.051,4.5152,2.1368,4.5152,2.1368
0.052,4.5062,2.1392,4.5062,2.1392
0.053,4.4972,2.1415,4.4972,2.1415
0.054,4.4882,2.1439,4.4882,2.1439
0.055,4.4792,2.1462,4.4792,2.1462
0.056,4.4703,2.1486,4.4703,2.1486
0.057,4.4613,2.1509,4.4613,2.1509
0.058,4.4524,2.1532,4.4524,2.1532
0.059,4.4435,2.1555,4.4435,2.1555
0.06,4.4346,2.1578,4.4346,2.1578
0.061,4.4258,2.16,4.4258,2.16
0.062,4.4169,2.1623,4.4169,2.1623
0.063,4.4081,2.1645,4.4081,2.1645
0.064,4.3993,2.1668,4.3993,2.1668
0.065,4.3905,2.169,4.3905,2.169
0.066,4.3817,2.1712,4.3817,2.1712
0.067,4.373,2.1734,4.373,2.1734
0.068,4.3643,2.1756,4.3643,2.1756
0.069,4.3555,2.1778,4.3555,2.1778
0.07,4.3468,2.18,4.3468,2.18
0.071,4.3381,2.1821,4.3381,2.1821
0.072,4.3295,2.1843,4.3295,2.1843
0.073,4.3208,2.1864,4.3208,2.1864
0.074,4.3122,2.1886,4.3122,2.1886
0.075,4.3036,2.1907,4.3036,2.1907
0.076,4.295,2.1928,4.295,2.1928
0.077,4.2864,2.1949,4.2864,2.1949
0.078,4.2778,2.197,4.2778,2.197
0.079,4.2693,2.199,4.2693,2.199
0.08,4.2608,2.2011,4.2608,2.2011
0.081,4.2522,2.2032,4.2522,2.2032
0.082,4.2438,2.2052,4.2438,2.2052
0.083,4.2353,2.2072,4.2353,2.2072
0.084,4.2268,2.2093,4.2268,2.2093
0.085,4.2184,2.2113,4.2184,2.2113
0.086,4.2099,2.2133,4.2099,2.2133
0.087,4.2015,2.2153,4.2015,2.2153
0.088,4.1931,2.2172,4.1931,2.2172
0.089,4.1848,2.2192,4.1848,2.2192
0.09,4.1764,2.2212,4.1764,2.2212
0.091,4.1681,2.2231,4.1681,2.2231
0.092,4.1597,2.2251,4.1597,2.2251
0.093,4.1514,2.227,4.1514,2.227
0.094,4.1431,2.2289,4.1431,2.2289
0.095,4.1348,2.2308,4.1348,2.2308
0.096,4.1266,2.2327,4.1266,2.2327
0.097,4.1183,2.2346,4.1183,2.2346
0.098,4.1101,2.2365,4.1101,2.2365
0.099,4.1019,2.2384,4.1019,2.2384
0.1,4.0937,2.2402,4.0937,2.2402
0.101,4.0855,2.2421,4.0855,2.2421
0.102,4.0774,2.2439,4.0774,2.2439
0.103,4.0692,2.2457,4.0692,2.2457
0.104,4.0611,2.2475,4.0611,2.2475
0.105,4.053,2.2494,4.053,2.2494
0.106,4.0449,2.2512,4.0449,2.2512
0.107,4.0368,2.2529,4.0368,2.2529
0.108,4.0287,2.2547,4.0287,2.2547
0.109,4.0207,2.2565,4.0207,2.2565
0.11,4.0126,2.2583,4.0126,2.2583
0.111,4.0046,2.26,4.0046,2.26
0.112,3.9966,2.2617,3.9966,2.2617
0.113,3.9886,2.2635,3.9886,2.2635
0.114,3.9807,2.2652,3.9807,2.2652
0.115,3.9727,2.2669,3.9727,2.2669
0.116,3.9648,2.2686,3.9648,2.2686
0.117,3.9569,2.2703,3.9569,2.2703
0.118,3.949,2.272,3.949,2.272
0.119,3.9411,2.2736,3.9411,2.2736
0.12,3.9332,2.2753,3.9332,2.2753
0.121,3.9253,2.277,3.9253,2.277
0.122,3.9175,2.2786,3.9175,2.2786
0.123,3.9097,2.2802,3.9097,2.2802
0.124,3.9019,2.2819,3.9019,2.2819
0.125,3.8941,2.2835,3.8941,2.2835
0.126,3.8863,2.2851,3.8863,2.2851
